,구매사이즈,키,몸무게,cluster
0,32,173,72,1
1,28,167,60,0
2,32,177,75,1
5,30,173,63,0
6,28,165,55,2
7,30,165,63,0
8,32,172,67,0
9,28,174,59,0
10,28,170,69,0
11,30,177,63,0
12,30,171,67,0
13,30,172,63,0
14,36,181,86,3
15,34,185,70,1
16,36,180,85,3
17,32,178,75,1
18,32,172,72,1
19,36,183,90,3
20,32,175,72,1
21,34,176,76,1
22,28,171,64,0
23,28,173,67,0
24,30,170,62,0
25,30,178,60,0
26,28,175,49,2
27,30,172,60,0
28,28,170,60,0
29,34,184,78,1
30,28,167,52,2
31,34,176,74,1
32,34,176,74,1
33,28,175,61,0
34,28,162,44,2
35,32,173,73,1
36,32,179,63,0
37,30,168,70,0
38,32,170,70,0
39,34,184,68,1
40,30,173,66,0
41,30,173,65,0
42,32,170,70,0
43,30,177,65,0
44,36,180,90,3
45,32,170,64,0
46,32,177,64,0
47,28,163,52,2
48,30,177,63,0
49,30,173,66,0
